Board,EventN,TrigTime,ADC
 0 , 0 , 2330804 , 2184.000000
 1 , 0 , 924344 , 2221.000000
 1 , 1 , 3854014 , 2180.000000
 2 , 0 , 2447806 , 2104.000000
 0 , 1 , 5260470 , 2172.000000
 1 , 2 , 6783682 , 2174.000000
 2 , 1 , 5377476 , 2198.000000
 0 , 2 , 8190134 , 2269.000000
 1 , 3 , 9713352 , 2161.000000
 2 , 2 , 8307148 , 2185.000000
 0 , 3 , 11119800 , 2161.000000
 2 , 3 , 11236818 , 2204.000000
 0 , 4 , 14049466 , 2142.000000
 1 , 4 , 12643022 , 2227.000000
 2 , 4 , 14166490 , 2230.000000
 0 , 5 , 16979130 , 2247.000000
 1 , 5 , 15572690 , 2214.000000
 2 , 5 , 17096160 , 2153.000000
 0 , 6 , 19908796 , 2280.000000
 1 , 6 , 18502360 , 2219.000000
 2 , 6 , 20025832 , 2262.000000
 0 , 7 , 22838460 , 2349.000000
 1 , 7 , 21432028 , 2329.000000
 0 , 8 , 25768126 , 2293.000000
 1 , 8 , 24361698 , 2238.000000
 2 , 7 , 22955502 , 2226.000000
 0 , 9 , 28697792 , 2266.000000
 1 , 9 , 27291368 , 2335.000000
 2 , 8 , 25885174 , 2211.000000
 0 , 10 , 31627456 , 2379.000000
 1 , 10 , 30221036 , 2273.000000
 2 , 9 , 28814844 , 2303.000000
 0 , 11 , 34557122 , 2290.000000
 1 , 11 , 33150706 , 2291.000000
 2 , 10 , 31744516 , 2291.000000
 1 , 12 , 36080374 , 2321.000000
 2 , 11 , 34674186 , 2292.000000
 0 , 12 , 37486786 , 2247.000000
 1 , 13 , 39010044 , 2324.000000
 2 , 12 , 37603856 , 2327.000000
 0 , 13 , 40416452 , 2347.000000
 1 , 14 , 41939714 , 2292.000000
 2 , 13 , 40533528 , 2249.000000
 0 , 14 , 43346118 , 2283.000000
 1 , 15 , 44869382 , 2328.000000
 2 , 14 , 43463198 , 2299.000000
 0 , 15 , 46275782 , 2398.000000
 2 , 15 , 46392870 , 2279.000000
 0 , 16 , 49205446 , 2330.000000
 1 , 16 , 47799052 , 2378.000000
 2 , 16 , 49322540 , 2251.000000
 0 , 17 , 52135110 , 2291.000000
 1 , 17 , 50728720 , 2273.000000
 2 , 17 , 52252212 , 2288.000000
 0 , 18 , 55064776 , 2370.000000
 1 , 18 , 53658390 , 2339.000000
 2 , 18 , 55181882 , 2270.000000
 0 , 19 , 57994442 , 2251.000000
 1 , 19 , 56588060 , 2249.000000
 0 , 20 , 60924106 , 2187.000000
 1 , 20 , 59517728 , 2312.000000
 2 , 19 , 58111554 , 2230.000000
 0 , 21 , 63853772 , 2257.000000
