Board,EventN,TrigTime,ADC
 0 , 0 , 1267768 , 2050.000000
 0 , 1 , 4197438 , 2111.000000
 1 , 0 , 2791012 , 2172.000000
 2 , 0 , 1384824 , 2113.000000
 0 , 2 , 7127108 , 2318.000000
 1 , 1 , 5720680 , 2299.000000
 2 , 1 , 4314490 , 2247.000000
 3 , 0 , 2908342 , 2083.000000
 2 , 2 , 7244158 , 2209.000000
 3 , 1 , 5838012 , 2083.000000
 0 , 3 , 10056780 , 2179.000000
 1 , 2 , 8650348 , 2225.000000
 0 , 4 , 12986450 , 2077.000000
 1 , 3 , 11580018 , 2099.000000
 2 , 3 , 10173826 , 2041.000000
 3 , 2 , 8767684 , 2073.000000
 2 , 4 , 13103494 , 1949.000000
 3 , 3 , 11697354 , 2091.000000
 0 , 5 , 15916120 , 1973.000000
 1 , 4 , 14509686 , 2017.000000
 1 , 5 , 17439354 , 1844.000000
 2 , 5 , 16033162 , 1787.000000
 3 , 4 , 14627026 , 2064.000000
 0 , 6 , 18845792 , 1763.000000
 3 , 5 , 17556696 , 2051.000000
 0 , 7 , 21775462 , 1699.000000
 1 , 6 , 20369024 , 1722.000000
 2 , 6 , 18962830 , 1687.000000
 1 , 7 , 23298692 , 1834.000000
 2 , 7 , 21892498 , 1736.000000
 3 , 6 , 20486366 , 2140.000000
 0 , 8 , 24705132 , 1784.000000
 3 , 7 , 23416038 , 2050.000000
 0 , 9 , 27634804 , 1887.000000
 1 , 8 , 26228360 , 1928.000000
 2 , 8 , 24822164 , 1929.000000
 2 , 9 , 27751832 , 1968.000000
 3 , 8 , 26345708 , 2150.000000
 0 , 10 , 30564474 , 2052.000000
 1 , 9 , 29158030 , 2074.000000
 0 , 11 , 33494144 , 2096.000000
 1 , 10 , 32087698 , 2166.000000
 2 , 10 , 30681500 , 2184.000000
 3 , 9 , 29275378 , 2065.000000
 2 , 11 , 33611168 , 2225.000000
 3 , 10 , 32205050 , 2058.000000
 0 , 12 , 36423816 , 2318.000000
 1 , 11 , 35017366 , 2329.000000
 1 , 12 , 37947036 , 2236.000000
 2 , 12 , 36540836 , 2240.000000
 3 , 11 , 35134720 , 2085.000000
 0 , 13 , 39353486 , 2206.000000
 0 , 14 , 42283156 , 2069.000000
 1 , 13 , 40876704 , 2129.000000
 2 , 13 , 39470504 , 2021.000000
