Board,EventN,TrigTime,ADC
 2 , 0 , 42964872 , 2037.000000
 3 , 0 , 41559286 , 2341.000000
 4 , 0 , 40152934 , 2012.000000
 5 , 0 , 38746724 , 2301.000000
 0 , 0 , 45778120 , 2415.000000
 1 , 0 , 44370530 , 2170.000000
 2 , 1 , 45894540 , 2109.000000
 3 , 1 , 44488954 , 2174.000000
 4 , 1 , 43082602 , 2077.000000
 5 , 1 , 41676396 , 2161.000000
 0 , 1 , 48707784 , 2212.000000
 1 , 1 , 47300198 , 2063.000000
 3 , 2 , 47418624 , 2083.000000
 4 , 2 , 46012270 , 2011.000000
 5 , 2 , 44606068 , 2111.000000
 0 , 2 , 51637450 , 2057.000000
 1 , 2 , 50229868 , 2084.000000
 2 , 2 , 48824212 , 2089.000000
 3 , 3 , 50348294 , 1908.000000
 4 , 3 , 48941940 , 2122.000000
 5 , 3 , 47535740 , 1915.000000
 0 , 3 , 54567116 , 2023.000000
 1 , 3 , 53159538 , 2163.000000
 2 , 3 , 51753884 , 2064.000000
 3 , 4 , 53277964 , 1797.000000
 4 , 4 , 51871608 , 2055.000000
 5 , 4 , 50465412 , 1779.000000
 0 , 4 , 57496782 , 1792.000000
 1 , 4 , 56089208 , 2085.000000
 2 , 4 , 54683556 , 2109.000000
 3 , 5 , 56207632 , 1702.000000
 4 , 5 , 54801276 , 2079.000000
 5 , 5 , 53395082 , 1706.000000
 0 , 5 , 60426446 , 1642.000000
 1 , 5 , 59018876 , 2161.000000
 2 , 5 , 57613226 , 2103.000000
 4 , 6 , 57730944 , 2055.000000
 5 , 6 , 56324754 , 1807.000000
 0 , 6 , 63356112 , 1860.000000
 1 , 6 , 61948546 , 2106.000000
 2 , 6 , 60542896 , 2109.000000
 3 , 6 , 59137302 , 1833.000000
 4 , 7 , 60660614 , 2070.000000
 5 , 7 , 59254426 , 1909.000000
 0 , 7 , 66285778 , 1967.000000
 1 , 7 , 64878216 , 2097.000000
 2 , 7 , 63472568 , 2096.000000
 3 , 7 , 62066972 , 2039.000000
 4 , 8 , 63590280 , 2054.000000
 5 , 8 , 62184096 , 2088.000000
 0 , 8 , 69215442 , 2179.000000
 1 , 8 , 67807884 , 2065.000000
 2 , 8 , 66402238 , 2030.000000
 3 , 8 , 64996640 , 2102.000000
 4 , 9 , 66519950 , 2070.000000
 5 , 9 , 65113768 , 2146.000000
 0 , 9 , 72145108 , 2185.000000
 1 , 9 , 70737554 , 2168.000000
 2 , 9 , 69331910 , 2080.000000
 3 , 9 , 67926310 , 2245.000000
 5 , 10 , 68043440 , 2268.000000
 0 , 10 , 75074774 , 2249.000000
 1 , 10 , 73667224 , 2180.000000
 2 , 10 , 72261582 , 2074.000000
 3 , 10 , 70855980 , 2324.000000
 4 , 10 , 69449620 , 2106.000000
 5 , 11 , 70973112 , 2180.000000
 0 , 11 , 78004440 , 2213.000000
 1 , 11 , 76596894 , 2078.000000
 2 , 11 , 75191252 , 2062.000000
 3 , 11 , 73785650 , 2207.000000
 4 , 11 , 72379288 , 2022.000000
 5 , 12 , 73902784 , 1986.000000
 0 , 12 , 80934104 , 2101.000000
 1 , 12 , 79526562 , 2162.000000
 2 , 12 , 78120922 , 2103.000000
 3 , 12 , 76715318 , 2034.000000
 4 , 12 , 75308956 , 2106.000000
 5 , 13 , 76832456 , 1883.000000
 0 , 13 , 83863770 , 1956.000000
 1 , 13 , 82456232 , 2087.000000
 2 , 13 , 81050594 , 2105.000000
 3 , 13 , 79644988 , 1924.000000
 4 , 13 , 78238624 , 2019.000000
 0 , 14 , 86793436 , 1765.000000
 1 , 14 , 85385902 , 2090.000000
 2 , 14 , 83980266 , 2094.000000
 3 , 14 , 82574658 , 1803.000000
 4 , 14 , 81168294 , 2063.000000
 5 , 14 , 79762128 , 1794.000000
 0 , 15 , 89723102 , 1642.000000
 1 , 15 , 88315572 , 2066.000000
 2 , 15 , 86909938 , 2101.000000
 3 , 15 , 85504328 , 1714.000000
 4 , 15 , 84097962 , 2041.000000
 5 , 15 , 82691800 , 1637.000000
 0 , 16 , 92652766 , 1866.000000
 1 , 16 , 91245240 , 2097.000000
 2 , 16 , 89839608 , 2013.000000
 3 , 16 , 88433996 , 1910.000000
 4 , 16 , 87027630 , 2076.000000
 5 , 16 , 85621470 , 1822.000000
 0 , 17 , 95582432 , 2006.000000
 1 , 17 , 94174910 , 2064.000000
 2 , 17 , 92769278 , 2080.000000
 3 , 17 , 91363666 , 1953.000000
 4 , 17 , 89957298 , 2042.000000
 5 , 17 , 88551142 , 2008.000000
 1 , 18 , 97104580 , 2082.000000
 2 , 18 , 95698950 , 2064.000000
 3 , 18 , 94293336 , 2120.000000
 4 , 18 , 92886968 , 2032.000000
 5 , 18 , 91480814 , 2048.000000
 0 , 18 , 98512098 , 2175.000000
 1 , 19 , 100034248 , 2180.000000
 2 , 19 , 98628620 , 2064.000000
 3 , 19 , 97223004 , 2230.000000
 4 , 19 , 95816634 , 2041.000000
 5 , 19 , 94410484 , 2275.000000
 0 , 19 , 101441762 , 2252.000000
 1 , 20 , 102963918 , 2080.000000
 2 , 20 , 101558292 , 2109.000000
 3 , 20 , 100152674 , 2332.000000
 4 , 20 , 98746304 , 2032.000000
 5 , 20 , 97340156 , 2297.000000
 0 , 20 , 104371428 , 2308.000000
 1 , 21 , 105893588 , 2163.000000
 2 , 21 , 104487964 , 2087.000000
 3 , 21 , 103082344 , 2182.000000
 4 , 21 , 101675972 , 2044.000000
 5 , 21 , 100269828 , 2164.000000
 0 , 21 , 107301094 , 2212.000000
 2 , 22 , 107417634 , 2074.000000
 3 , 22 , 106012014 , 2102.000000
 4 , 22 , 104605642 , 2078.000000
 5 , 22 , 103199500 , 2114.000000
 0 , 22 , 110230760 , 2102.000000
 1 , 22 , 108823258 , 2105.000000
 2 , 23 , 110347304 , 2099.000000
 3 , 23 , 108941682 , 1929.000000
 4 , 23 , 107535308 , 2042.000000
 5 , 23 , 106129172 , 1917.000000
 0 , 23 , 113160424 , 2032.000000
 1 , 23 , 111752926 , 2090.000000
 2 , 24 , 113276976 , 2014.000000
 3 , 24 , 111871352 , 1809.000000
 4 , 24 , 110464978 , 2077.000000
 5 , 24 , 109058844 , 1781.000000
 0 , 24 , 116090090 , 1831.000000
 1 , 24 , 114682596 , 2064.000000
 2 , 25 , 116206648 , 2108.000000
 3 , 25 , 114801022 , 1730.000000
 4 , 25 , 113394646 , 2012.000000
 5 , 25 , 111988516 , 1765.000000
 0 , 25 , 119019756 , 1701.000000
 1 , 25 , 117612266 , 2114.000000
 3 , 26 , 117730690 , 1824.000000
 4 , 26 , 116324314 , 2078.000000
 5 , 26 , 114918186 , 1806.000000
 0 , 26 , 121949420 , 1934.000000
 1 , 26 , 120541934 , 2062.000000
 2 , 26 , 119136318 , 2077.000000
 3 , 27 , 120660358 , 1989.000000
 4 , 27 , 119253982 , 2010.000000
 5 , 27 , 117847858 , 1913.000000
 0 , 27 , 124879086 , 1956.000000
 1 , 27 , 123471604 , 2085.000000
 2 , 27 , 122065990 , 2031.000000
 3 , 28 , 123590028 , 2099.000000
 4 , 28 , 122183652 , 2121.000000
 5 , 28 , 120777530 , 2081.000000
 0 , 28 , 127808752 , 2193.000000
 1 , 28 , 126401274 , 2164.000000
 2 , 28 , 124995660 , 2107.000000
 3 , 29 , 126519698 , 2241.000000
 4 , 29 , 125113320 , 2055.000000
 5 , 29 , 123707202 , 2187.000000
 0 , 29 , 130738418 , 2252.000000
 1 , 29 , 129330944 , 2084.000000
 2 , 29 , 127925332 , 2087.000000
 4 , 30 , 128042988 , 2078.000000
 5 , 30 , 126636872 , 2266.000000
 0 , 30 , 133668082 , 2316.000000
 1 , 30 , 132260612 , 2160.000000
 2 , 30 , 130855002 , 2094.000000
 3 , 30 , 129449366 , 2292.000000
 4 , 31 , 130972658 , 2037.000000
 5 , 31 , 129566544 , 2180.000000
 0 , 31 , 136597748 , 2283.000000
 1 , 31 , 135190282 , 2107.000000
 2 , 31 , 133784674 , 2102.000000
 3 , 31 , 132379036 , 2183.000000
 4 , 32 , 133902326 , 2071.000000
 5 , 32 , 132496216 , 1985.000000
 0 , 32 , 139527414 , 2049.000000
 1 , 32 , 138119952 , 2097.000000
 2 , 32 , 136714346 , 2102.000000
 3 , 32 , 135308706 , 2057.000000
 4 , 33 , 136831994 , 2039.000000
 5 , 33 , 135425886 , 1915.000000
 0 , 33 , 142457078 , 1864.000000
 1 , 33 , 141049620 , 2065.000000
 2 , 33 , 139644014 , 2081.000000
 3 , 33 , 138238374 , 1923.000000
 5 , 34 , 138355560 , 1797.000000
 0 , 34 , 145386744 , 1826.000000
 1 , 34 , 143979290 , 2167.000000
 2 , 34 , 142573686 , 2076.000000
 3 , 34 , 141168044 , 1874.000000
 4 , 34 , 139761662 , 2071.000000
 5 , 35 , 141285232 , 1637.000000
 0 , 35 , 148316410 , 1712.000000
 1 , 35 , 146908960 , 2179.000000
 2 , 35 , 145503358 , 2031.000000
 3 , 35 , 144097714 , 1694.000000
 4 , 35 , 142691332 , 2104.000000
 5 , 36 , 144214904 , 1794.000000
 0 , 36 , 151246076 , 1791.000000
 1 , 36 , 149838630 , 2076.000000
 2 , 36 , 148433030 , 2081.000000
 3 , 36 , 147027384 , 1864.000000
 4 , 36 , 145621000 , 2019.000000
 5 , 37 , 147144574 , 2005.000000
 0 , 37 , 154175740 , 1928.000000
 1 , 37 , 152768296 , 2177.000000
 2 , 37 , 151362700 , 2090.000000
 3 , 37 , 149957052 , 1974.000000
 4 , 37 , 148550668 , 2106.000000
 0 , 38 , 157105406 , 2029.000000
 1 , 38 , 155697966 , 2077.000000
 2 , 38 , 154292372 , 2062.000000
 3 , 38 , 152886722 , 2081.000000
 4 , 38 , 151480336 , 2019.000000
 5 , 38 , 150074246 , 2049.000000
 0 , 39 , 160035072 , 2243.000000
 1 , 39 , 158627636 , 2161.000000
 2 , 39 , 157222042 , 2104.000000
 3 , 39 , 155816392 , 2214.000000
 4 , 39 , 154410006 , 2066.000000
 5 , 39 , 153003918 , 2206.000000
 0 , 40 , 162964736 , 2356.000000
 1 , 40 , 161557304 , 2085.000000
 2 , 40 , 160151712 , 2015.000000
 3 , 40 , 158746060 , 2312.000000
 4 , 40 , 157339672 , 2021.000000
 5 , 40 , 155933588 , 2300.000000
 0 , 41 , 165894402 , 2274.000000
 1 , 41 , 164486974 , 2090.000000
 2 , 41 , 163081384 , 2112.000000
 3 , 41 , 161675730 , 2186.000000
 4 , 41 , 160269342 , 2064.000000
 5 , 41 , 158863260 , 2164.000000
 1 , 42 , 167416644 , 2064.000000
 2 , 42 , 166011056 , 2097.000000
 3 , 42 , 164605400 , 2068.000000
 4 , 42 , 163199010 , 2041.000000
 5 , 42 , 161792932 , 2109.000000
 0 , 42 , 168824068 , 2034.000000
 1 , 43 , 170346314 , 2114.000000
 2 , 43 , 168940728 , 2014.000000
 3 , 43 , 167535070 , 1953.000000
 4 , 43 , 166128680 , 2032.000000
 5 , 43 , 164722604 , 1914.000000
 0 , 43 , 171753734 , 1863.000000
 1 , 44 , 173275982 , 2088.000000
 2 , 44 , 171870396 , 2108.000000
 3 , 44 , 170464738 , 1790.000000
 4 , 44 , 169058346 , 2040.000000
 5 , 44 , 167652274 , 1767.000000
 0 , 44 , 174683398 , 1830.000000
 1 , 45 , 176205652 , 2082.000000
 2 , 45 , 174800068 , 2086.000000
 3 , 45 , 173394408 , 1736.000000
 4 , 45 , 171988016 , 2032.000000
 5 , 45 , 170581946 , 1697.000000
 0 , 45 , 177613064 , 1751.000000
 2 , 46 , 177729740 , 2063.000000
 3 , 46 , 176324078 , 1810.000000
 4 , 46 , 174917684 , 2044.000000
 5 , 46 , 173511620 , 1824.000000
 0 , 46 , 180542730 , 1921.000000
 1 , 46 , 179135322 , 2164.000000
 2 , 47 , 180659410 , 2102.000000
 3 , 47 , 179253746 , 1958.000000
 4 , 47 , 177847352 , 2033.000000
 5 , 47 , 176441290 , 1912.000000
 0 , 47 , 183472394 , 2029.000000
 1 , 47 , 182064990 , 2079.000000
 2 , 48 , 183589082 , 2103.000000
 3 , 48 , 182183416 , 2088.000000
 4 , 48 , 180777020 , 2042.000000
 5 , 48 , 179370962 , 2086.000000
 0 , 48 , 186402060 , 2089.000000
 1 , 48 , 184994660 , 2159.000000
 2 , 49 , 186518754 , 2093.000000
 3 , 49 , 185113086 , 2264.000000
 4 , 49 , 183706690 , 2076.000000
 5 , 49 , 182300634 , 2187.000000
 0 , 49 , 189331726 , 2251.000000
 1 , 49 , 187924330 , 2107.000000
 3 , 50 , 188042756 , 2354.000000
 4 , 50 , 186636358 , 2012.000000
 5 , 50 , 185230306 , 2275.000000
 0 , 50 , 192261392 , 2358.000000
 1 , 50 , 190854000 , 2096.000000
 2 , 50 , 189448424 , 2097.000000
 3 , 51 , 190972424 , 2193.000000
 4 , 51 , 189566026 , 2077.000000
 5 , 51 , 188159976 , 2180.000000
 0 , 51 , 195191056 , 2284.000000
 1 , 51 , 193783668 , 2064.000000
 2 , 51 , 192378094 , 2030.000000
 3 , 52 , 193902094 , 2029.000000
 4 , 52 , 192495696 , 2054.000000
 5 , 52 , 191089648 , 1988.000000
 0 , 52 , 198120722 , 2086.000000
 1 , 52 , 196713338 , 2168.000000
 2 , 52 , 195307766 , 2082.000000
 3 , 53 , 196831764 , 1939.000000
 4 , 53 , 195425364 , 2078.000000
 5 , 53 , 194019320 , 1887.000000
 0 , 53 , 201050388 , 1923.000000
 1 , 53 , 199643008 , 2179.000000
 2 , 53 , 198237438 , 2075.000000
 4 , 54 , 198355032 , 2057.000000
 5 , 54 , 196948990 , 1846.000000
 0 , 54 , 203980052 , 1897.000000
 1 , 54 , 202572676 , 2083.000000
 2 , 54 , 201167108 , 2063.000000
 3 , 54 , 199761432 , 1826.000000
 4 , 55 , 201284700 , 2078.000000
 5 , 55 , 199878662 , 1663.000000
 0 , 55 , 206909718 , 1699.000000
 1 , 55 , 205502346 , 2163.000000
 2 , 55 , 204096780 , 2109.000000
 3 , 55 , 202691102 , 1684.000000
 4 , 56 , 204214370 , 2039.000000
 5 , 56 , 202808334 , 1823.000000
 0 , 56 , 209839384 , 1937.000000
 1 , 56 , 208432016 , 2086.000000
 2 , 56 , 207026450 , 2102.000000
 3 , 56 , 205620772 , 1831.000000
 4 , 57 , 207144038 , 2072.000000
 5 , 57 , 205738008 , 1955.000000
 0 , 57 , 212769050 , 2028.000000
 1 , 57 , 211361686 , 2088.000000
 2 , 57 , 209956122 , 2093.000000
 3 , 57 , 208550442 , 1964.000000
 5 , 58 , 208667678 , 2049.000000
 0 , 58 , 215698714 , 2095.000000
 1 , 58 , 214291354 , 2107.000000
 2 , 58 , 212885792 , 2098.000000
 3 , 58 , 211480110 , 2092.000000
 4 , 58 , 210073706 , 2040.000000
 5 , 59 , 211597350 , 2201.000000
 0 , 59 , 218628380 , 2179.000000
 1 , 59 , 217221024 , 2098.000000
 2 , 59 , 215815464 , 2035.000000
 3 , 59 , 214409780 , 2297.000000
 4 , 59 , 213003374 , 2072.000000
 5 , 60 , 214527022 , 2268.000000
 0 , 60 , 221558046 , 2308.000000
 1 , 60 , 220150694 , 2061.000000
 2 , 60 , 218745136 , 2108.000000
 3 , 60 , 217339450 , 2301.000000
 4 , 60 , 215933044 , 2105.000000
 5 , 61 , 217456692 , 2161.000000
 0 , 61 , 224487710 , 2123.000000
 1 , 61 , 223080362 , 2169.000000
 2 , 61 , 221674804 , 2090.000000
 3 , 61 , 220269118 , 2211.000000
 4 , 61 , 218862710 , 2071.000000
 0 , 62 , 227417376 , 2080.000000
 1 , 62 , 226010032 , 2181.000000
 2 , 62 , 224604476 , 2063.000000
 3 , 62 , 223198788 , 2061.000000
 4 , 62 , 221792380 , 2105.000000
 5 , 62 , 220386364 , 2113.000000
 0 , 63 , 230347042 , 1885.000000
 1 , 63 , 228939702 , 2077.000000
 2 , 63 , 227534148 , 2109.000000
 3 , 63 , 226128458 , 1923.000000
 4 , 63 , 224722048 , 2021.000000
 5 , 63 , 223316036 , 1914.000000
 0 , 64 , 233276706 , 1883.000000
 1 , 64 , 231869370 , 2163.000000
 2 , 64 , 230463818 , 2104.000000
 3 , 64 , 229058126 , 1781.000000
 4 , 64 , 227651716 , 2105.000000
 5 , 64 , 226245706 , 1747.000000
 0 , 65 , 236206372 , 1672.000000
 1 , 65 , 234799040 , 2086.000000
 2 , 65 , 233393490 , 2092.000000
 3 , 65 , 231987796 , 1705.000000
 4 , 65 , 230581384 , 2020.000000
 5 , 65 , 229175378 , 1698.000000
 1 , 66 , 237728710 , 2092.000000
 2 , 66 , 236323162 , 2103.000000
 3 , 66 , 234917466 , 1835.000000
 4 , 66 , 233511054 , 2074.000000
 5 , 66 , 232105050 , 1807.000000
 0 , 66 , 239136038 , 1770.000000
 1 , 67 , 240658380 , 2066.000000
 2 , 67 , 239252832 , 2011.000000
 3 , 67 , 237847136 , 1975.000000
 4 , 67 , 236440722 , 2040.000000
 5 , 67 , 235034722 , 1911.000000
 0 , 67 , 242065704 , 1987.000000
 1 , 68 , 243588048 , 2097.000000
 2 , 68 , 242182502 , 2078.000000
 3 , 68 , 240776804 , 2165.000000
 4 , 68 , 239370390 , 2078.000000
 5 , 68 , 237964394 , 2081.000000
 0 , 68 , 244995368 , 2133.000000
 1 , 69 , 246517718 , 2062.000000
 2 , 69 , 245112174 , 2076.000000
 3 , 69 , 243706474 , 2208.000000
 4 , 69 , 242300058 , 2039.000000
 5 , 69 , 240894066 , 2189.000000
 0 , 69 , 247925034 , 2306.000000
 2 , 70 , 248041846 , 2032.000000
 3 , 70 , 246636144 , 2347.000000
 4 , 70 , 245229728 , 2104.000000
 5 , 70 , 243823738 , 2260.000000
 0 , 70 , 250854700 , 2277.000000
 1 , 70 , 249447388 , 2083.000000
 2 , 71 , 250971516 , 2110.000000
 3 , 71 , 249565812 , 2202.000000
 4 , 71 , 248159396 , 2044.000000
 5 , 71 , 246753408 , 2176.000000
 0 , 71 , 253784364 , 2206.000000
 1 , 71 , 252377056 , 2180.000000
 2 , 72 , 253901188 , 2088.000000
 3 , 72 , 252495482 , 2077.000000
 4 , 72 , 251089064 , 2031.000000
 5 , 72 , 249683080 , 1985.000000
 0 , 72 , 256714030 , 2087.000000
 1 , 72 , 255306726 , 2078.000000
 2 , 73 , 256830858 , 2095.000000
 3 , 73 , 255425152 , 1925.000000
 4 , 73 , 254018734 , 2011.000000
 5 , 73 , 252612752 , 1886.000000
 0 , 73 , 259643696 , 1972.000000
 1 , 73 , 258236396 , 2160.000000
 3 , 74 , 258354822 , 1799.000000
 4 , 74 , 256948402 , 2077.000000
 5 , 74 , 255542424 , 1792.000000
 0 , 74 , 262573362 , 1884.000000
 1 , 74 , 261166066 , 2106.000000
 2 , 74 , 259760530 , 2100.000000
 3 , 75 , 261284490 , 1709.000000
 4 , 75 , 259878070 , 2013.000000
 5 , 75 , 258472094 , 1666.000000
 0 , 75 , 265503026 , 1740.000000
 1 , 75 , 264095734 , 2090.000000
 2 , 75 , 262690200 , 2014.000000
 3 , 76 , 264214160 , 1844.000000
 4 , 76 , 262807738 , 2074.000000
 5 , 76 , 261401766 , 1820.000000
 0 , 76 , 268432692 , 1832.000000
 1 , 76 , 267025404 , 2068.000000
 2 , 76 , 265619872 , 2112.000000
 3 , 77 , 267143830 , 1988.000000
 4 , 77 , 265737408 , 2056.000000
 5 , 77 , 264331438 , 2005.000000
 0 , 77 , 271362358 , 1994.000000
 1 , 77 , 269955074 , 2168.000000
 2 , 77 , 268549544 , 2098.000000
 4 , 78 , 268667074 , 2076.000000
 5 , 78 , 267261108 , 2070.000000
 0 , 78 , 274292022 , 2084.000000
 1 , 78 , 272884742 , 2087.000000
 2 , 78 , 271479212 , 2066.000000
 3 , 78 , 270073498 , 2079.000000
 4 , 79 , 271596744 , 2053.000000
 5 , 79 , 270190782 , 2204.000000
 0 , 79 , 277221688 , 2320.000000
 1 , 79 , 275814412 , 2082.000000
 2 , 79 , 274408884 , 2108.000000
 3 , 79 , 273003168 , 2249.000000
 4 , 80 , 274526412 , 2077.000000
 5 , 80 , 273120454 , 2356.000000
 0 , 80 , 280151354 , 2346.000000
 1 , 80 , 278744082 , 2163.000000
 2 , 80 , 277338556 , 2088.000000
 3 , 80 , 275932838 , 2293.000000
 4 , 81 , 277456082 , 2038.000000
 5 , 81 , 276050126 , 2139.000000
 0 , 81 , 283081020 , 2180.000000
 1 , 81 , 281673752 , 2086.000000
 2 , 81 , 280268228 , 2063.000000
 3 , 81 , 278862508 , 2179.000000
 5 , 82 , 278979796 , 2113.000000
 0 , 82 , 286010684 , 2153.000000
 1 , 82 , 284603420 , 2160.000000
 2 , 82 , 283197898 , 2102.000000
 3 , 82 , 281792176 , 2050.000000
 4 , 82 , 280385748 , 2077.000000
 5 , 83 , 281909468 , 1915.000000
 0 , 83 , 288940350 , 1921.000000
 1 , 83 , 287533090 , 2107.000000
 2 , 83 , 286127570 , 2102.000000
 3 , 83 , 284721846 , 1972.000000
 4 , 83 , 283315418 , 2039.000000
 5 , 84 , 284839140 , 1782.000000
 0 , 84 , 291870016 , 1903.000000
 1 , 84 , 290462760 , 2098.000000
 2 , 84 , 289057240 , 2107.000000
 3 , 84 , 287651516 , 1874.000000
 4 , 84 , 286245086 , 2071.000000
 5 , 85 , 287768810 , 1698.000000
 0 , 85 , 294799680 , 1733.000000
 1 , 85 , 293392428 , 2067.000000
 2 , 85 , 291986910 , 2074.000000
 3 , 85 , 290581184 , 1718.000000
 4 , 85 , 289174754 , 2039.000000
 0 , 86 , 297729346 , 1792.000000
 1 , 86 , 296322098 , 2112.000000
 2 , 86 , 294916582 , 2031.000000
 3 , 86 , 293510854 , 1857.000000
 4 , 86 , 292104422 , 2073.000000
 5 , 86 , 290698482 , 1807.000000
 0 , 87 , 300659012 , 2060.000000
 1 , 87 , 299251768 , 2180.000000
 2 , 87 , 297846254 , 2079.000000
 3 , 87 , 296440524 , 1978.000000
 4 , 87 , 295034092 , 2107.000000
 5 , 87 , 293628154 , 1927.000000
 0 , 88 , 303588678 , 2084.000000
 1 , 88 , 302181438 , 2077.000000
